100% Pure;cf;
3INA;cf;
22|11;cf;
A Perfume Organic;cf;
Abba;cf;vegan
Acure;cf;vegan
Adorn Cosmetics;cf;vegan
Adwoa Beauty;cf;
Aesop;cf;vegan
Aether Beauty;cf;vegan
Afterglow Cosmetics;cf;
AG Hair;cf;
Aila Cosmetics;cf;vegan
Alaffia;cf;
Alba Botanica;cf;
Alima Pure;cf;
Amika;cf;
Anastasia Beverly Hills;cf;
Andalou Naturals;cf;
Annabelle;cf;
Antipodes;cf;
Antonym;cf;
Arctic Fox;cf;vegan
Ardell;cf;
Ardency Inn;cf;
Aromi;cf;vegan
Arquiste;cf;
As I Am;cf;
Astonish;cf;vegan
Athar' a Pure;cf;vegan
Attitude;cf;vegan
Au Naturale;cf;vegan
Aubrey Organics;cf;
Auromere;cf;
Australian Gold;cf;
Australis;cf;
Avalea;cf;
Avalon Organics;cf;
Aveda;cf;
Axiology;cf;vegan
Babo Botanicals;cf;
Badger;cf;
Baja Bae;cf;vegan
Balm Balm;cf;
Barefaced Beauty;cf;vegan
BareMinerals;cf;
Barry M;cf;
Beauty Bio;cf;
Beauty by Earth;cf;
Beautyblender;cf;
Becca;cf;
Bellapierre;cf;
Ben Nye;cf;
Benecos;cf;
Besame;cf;
BH Cosmetics;cf;
Bite Beauty;cf;
Black Radiance;cf;
Blinc;cf;
Blissoma;cf;vegan
Booda Organics;cf;vegan
Boosy Cosmetics;cf;
Boots;cf;
Boscia;cf;vegan
Botanics;cf;vegan
Briogeo;cf;
Bulldog;cf;
Bumble and Bumble;cf;
Butter London;cf;
Buxom;cf;
By Rosie Jane;cf;vegan
BYBI Beauty;cf;vegan
C.O. Bigelow;cf;
Cailyn Cosmetics;cf;
California Tan;cf;
Captain Blankenship;cf;
Cargo;cf;
Carol's Daughter;cf;
Caswell-Massey;cf;
Cate McNabb;cf;
Catrice;cf;
Celeb Luxury;cf;vegan
Ceramedx;cf;vegan
Certain Dri;cf;
Chantecaille;cf;
Chi Chi Cosmetics;cf;
China Glaze;cf;
Christophe Robin;cf;
Ciate;cf;
CleanWell;cf;
Clove + Hallow;cf;vegan
Cocofloss;cf;vegan
Coloured Raine;cf;
Colourpop;cf;
Conair;cf;
Concrete Minerals;cf;vegan
COOLA;cf;
Copycat Beauty;cf;
Cosmedix;cf;
Cover FX;cf;vegan
Cover Girl;cf;
Crazy Rumors;cf;vegan
Crystal;cf;vegan
CYO Cosmetics;cf;
D.S. & Durga;cf;
Das Boom;cf;
Davids;cf;
De Mamiel;cf;
Deborah Lippmann;cf;
Deck of Scarlet;cf;
Deco Miami;cf;vegan
Deep Steep;cf;
Derma E;cf;vegan
Dermablend;cf;
DERMAdoctor;cf;
Dermalogica;cf;
DermOrganic;cf;vegan
Desert Essence;cf;
DevaCurl;cf;
DeVita;cf;vegan
Doll 10;cf;
Dose Of Colors;cf;
dpHUE;cf;vegan
Dr. Alkaitis;cf;
Dr. Barbara Sturm;cf;
Dr. Bronner's;cf;
Dr. Dennis Gross;cf;
Dr. Hauschka;cf;
Drunk Elephant;cf;
Drybar;cf;
DuWop;cf;
Earth Tu Face;cf;
Earth's Beauty;cf;
Ecco Bella;cf;
EcoColors;cf;
ECOS;cf;vegan
EcoTools;cf;vegan
Edible Beauty;cf;vegan
Edward Bess;cf;
Elate;cf;vegan
Elemis;cf;
Eleven Australia;cf;
Elf;cf;
Elizabeth Grant;cf;
Ella + Mila;cf;
Ellis Faas;cf;
Ellovi;cf;vegan
Emani;cf;vegan
Embryolisse;cf;
EO Products;cf;
Epic Blend;cf;
Ere Perez;cf;
Essence;cf;
Eva Nyc;cf;
Everyday Minerals;cf;vegan
EVOLVh;cf;
Eyeko;cf;
Face Atelier;cf;
Faith in Nature;cf;vegan
Farmacy Beauty;cf;
Farsali;cf;vegan
Fiona Stiles;cf;
Fior Minerals;cf;vegan
Fitglow;cf;
Flora + Bast;cf;
Flower;cf;
Forager Botanicals;cf;vegan
Formula 10.0.6;cf;
Formulary 55;cf;
Fortune Cookie Soap;cf;
Frank Body;cf;
French Girl;cf;vegan
Function of beauty;cf;vegan
Furless;cf;vegan
Gabriel Cosmetics;cf;
Garnier;cf;
Gerard Cosmetics;cf;
Giovanni;cf;
Girlactik;cf;
Gisou;cf;
Glo Skin Beauty;cf;
Gloss Moderne;cf;vegan
Glossier;cf;
Glow Recipe;cf;
Good Dye Young;cf;vegan
GOSH;cf;
Grande Cosmetics;cf;
Graydon;cf;
Gressa;cf;
H20 Plus;cf;
Habit;cf;
HAN;cf;
Hana Organic Skincare;cf;
Hard Botanicals;cf;
Hard Candy;cf;
Harvey Prince Organics;cf;vegan
Hask;cf;
Hello Products;cf;
Hempme;cf;vegan
Hempz;cf;vegan
Herbatint;cf;
Herbivore Botanicals;cf;vegan
Horore Des Pres;cf;
Hourglass;cf;
House of Lashes;cf;
Hugo Naturals;cf;vegan
Hurraw!;cf;vegan
Hush & Dotti;cf;
Hynt Beauty;cf;
I Am Selfcare;cf;
IGK;cf;
Iles Formula;cf;
ILIA;cf;
Illamasqua;cf;
Indie Lee;cf; 
Infuse by Casabella;cf;vegan
Inika;cf;vegan
InstaNatural;cf;
IT Cosmetics;cf;
It's a 10;cf;
J.R. Watkins;cf;
Jack Black;cf;
Jacq' s;cf;vegan
Jane;cf;
Jane Iredale;cf;
Japonesque;cf;
JASON;cf;
Jeffree Star;cf;
JINsoon;cf;vegan
John Masters Organics;cf;
John Russo;cf;
Jordana;cf;
Josh Rosebrook;cf;
Josie Maran;cf;
Jouer;cf;
Juice Beauty;cf;
Julep;cf;
Juvia's  Place;cf;
Kahina Giving Beauty;cf;
Kaia Naturals;cf;
Kaja;cf;
Kari Gran;cf;
Kate Somerville;cf;
Kenra;cf;
Kesha Rose Beauty;cf;vegan
Kester Black;cf;vegan
Kevin Murphy;cf;
Kiko;cf;
Kiss My Face;cf;
Kjaer Weis;cf;
KKW Beauty;cf;
Koh Gen Do;cf;
Kopari Beauty;cf;
Kora Organics;cf;vegan
Kosas;cf;
Kreyol Essence;cf;
Kryolan;cf;
KVD Vegan Beauty;cf;
Kylie Cosmetics;cf;
KYPRIS;cf;
L.A. Girl;cf;
Lancer;cf;
Lano;cf;
Lather;cf;
Laura Geller;cf;
Lauren B. Beauty;cf;vegan
Lavanila;cf;
Le Couvent Des Minimes;cf;
Le Labo;cf;
Le Petit Olivier;cf;
Level Naturals;cf;vegan
Lilah B.;cf;
Lily Lolo;cf;
Lina Hanson;cf;vegan
Linda Halberg;cf;
Lit Cosmetics;cf;
Lit Cosmetics;cf;
Live Clean;cf;
Living Proof;cf;
Liz Earle;cf;
Lotis Wei;cf;
Lulu Organics;cf;
Lunar Beauty;cf;
Lurk;cf;
LUSH;cf;
LVX;cf;vegan
Mad Hippie;cf;vegan
Madara Cosmetics;cf;
Madison Reed;cf;
Maelys Cosmetics;cf;
MAHALO;cf;
Maison Louis MArie;cf;
Makeup Geek;cf;
Manic Panic;cf;
Marc Jacobs Beauty;cf;
Marcelle;cf;
Maria Nila;cf;vegan
Marie Hunter Beauty;cf;
Mario Badescu;cf;
Marks & Spencer;cf;
Marula;cf;
May Lindstrom;cf;
Mehron;cf;
Melt Cosmetics;cf;
Mented Cosmetics;cf;vegan
Meow Meow Tweet;cf;vegan
Merle Norman;cf;
Method;cf;vegan
Milani;cf;
Milk Makeup;cf;vegan
Mineral Fusion;cf;
Molly's Suds;cf;
Molton Brown;cf;
Moroccanoil;cf;
Mrs. Meyer's;cf;
Mukti;cf;
MUN;cf;vegan
Murad;cf;
MV Organic Skincare;cf;
My Daughter Fragrances;cf;
MyChelle;cf;
Nabla Cosmetics;cf;
Nad's;cf;
Natasha Denona;cf;
Natio;cf;
Natura;cf;
Nature Clean;cf;
Nature's Gate;cf;vegan
NCLA;cf;vegan
Nellie's;;
NEST Fragrances;;
Nip+Fab;;
No B.S.;;
No7;;
Nourish Organic;;
Nubian Heritage;;
Nude By Nature;;
Nude Skincare;;
nyl;cf;vegan
NYX;cf;
Odacite;cf;vegan
Odylique;cf;
OFRA Cosmetics;cf;
Olaplex;cf;vegan
Ole Henriksen;cf;
Olivella;cf;
Omorovicza;cf;
One Love Organics;cf;
OOO Polish;cf;vegan
Organic Bath Co;cf;
Oribe;cf;
Orly;cf;
Osea Malibu;cf;vegan
Oshun Organics;cf;vegan
Ouai;cf;
Oui the People;cf;
Ouidad;cf;
Out of Africa;cf;
Overtone;cf;vegan
Oz Naturals;cf;
Pacifica;cf;vegan
Pai;cf;vegan
Painted Earth;cf;
Palladio;cf;
Pangea Organics;cf;
Patchology;cf;
Paul Mitchell;cf;
Paula's Choice;cf;
Peace Out;cf;
Penhaligon's;cf;
People Of Color Beauty;cf;vegan
Perfekt;cf;
Perricone MD;cf;
Personna;cf;
Phlur;cf;
Pinrose;cf;vegan
PiperWei;cf;vegan
Pixi;cf;
Plant Apothecary;cf;vegan
Pour Le Monde;cf;vegan
Pravana;cf;
Preserve;cf;
Prettu Frank;cf;
Primark;cf;
Priti NYC;cf;vegan
Province Apothecary;cf;
Pupa Milano;cf;
PUR Cosmetics;cf;
Puracy;cf;
Pure Anada;cf;
Queen Helene;cf;
R+Co;cf;vegan
Radical Skincare;cf;
Rahua;cf;vegan
Range Beauty;cf;vegan
Rare Elements;cf;
Raw Sugar;cf;
RCMA;cf;
Real Simple Clean;cf;
Real Techniques;cf;vegan
Red Apple Lipstick;cf;vegan
REN;cf;
Renee Rouleau;cf;
Resonance 396;cf;
Reverie;cf;
Rita Hazan;cf;
Rituel de Fille;cf;
RMS Beauty;cf;
Rodial;cf;
Root Science;cf;
Rouge Bunny Rouge;cf;
S.W. Basics;cf;
Sachajuan;cf;
Sand & Sky;cf;
Sappho;cf;vegan
Saranghae;cf;vegan
Schmidt's Naturals;cf;vegan
Scotch Naturals;cf;vegan
Seche;cf;
Seventh Generation;cf;
Shea Moisture;cf;
Sibu;cf;vegan
Silk Naturals;cf;
Skin Laundry;cf;
Skinny & Co;cf;
Skyn ICELAND;cf;
Sleek;cf;
Smashbox;cf;
Smith & Cult;cf;
Soapwalla;cf;vegan
Sol de Janeiro;cf;
Sonia Kashuk;cf;
SpaRitual;cf;vegan
St. Ives;cf;
Stargazer;cf;
Stellar Beauty;cf;
Stila;cf;
Strange Invisible;cf;
Studio Makeup;cf;
Sugarpill;cf;
Suki;cf;
Sukin;cf;vegan
Summer Fridays;cf;vegan
Sunday Rain;cf;vegan
Sunday Riley;cf;
Suntegrity;cf;
Superdrug;cf;
Supergoop!;cf;
Suva Beauty;cf;
Sweet Chef;cf;vegan
Tarte;cf;
Tata Harper;cf;
TATCHA;cf;
The 7 Virtues;cf;vegan
The Beauty Chef;cf;vegan
The Body Shop;cf;
The Green Beaver Company;cf;
The Honey Pot Co;cf;
The Ordinary;cf;
The Seaweed Bath Co.;cf;
TheBalm;cf;
Thesis;cf;vegan
This is L.;cf;
TO112;cf;
Tomв's of Maine;cf;
Too Faced;cf;
Trader Joe's;cf;
Tree Hut;cf;
TreStiQue;cf;
Trilogy;cf;
Trish McEvoy;cf;
True McEvoy;cf;
True Moringa;cf;vegan
Trufora;cf;vegan
Trust Fund Beauty;cf;vegan
Tsi-La;cf;vegan
Tula;cf;
Umberto Giannini;cf;vegan
UnSun;cf;
Uoma Beauty;cf;
Urban Decay;cf;
Ursa Major;cf;
Vapour Organic Beauty;cf;
Velvet Report;cf;
Verb;cf;
Vered Organic Botanicals;cf;
Vernon Francois;cf;
Versed;cf;vegan
Vintner's Daughter;cf;
Vitruvi;cf;vegan
Volition Beauty;cf;
W3LL People;cf;
Wander Beauty;cf;
Weleda;cf;
WEN by Chaz Dean;cf;
Whish;cf;
Whole Foods (365);cf;
Wunderbrow;cf;
Yarok;cf;vegan
Yes To;cf;
Youngblood;cf;
Youth To The People;cf;vegan
YUNI Beauty;cf;vegan
Zoeva;cf;
Zoya;cf;
Zuii Organic;cf;
ZuZu Luxe;cf;